,Time (EET),Ask,Bid,AskVolume,BidVolume
0,2024-01-02 00:00:20.059,140.903,140.843,0.9,0.9
1,2024-01-02 00:00:27.181,140.893,140.847,0.9,0.5
2,2024-01-02 00:00:47.693,140.892,140.847,0.9,0.5
3,2024-01-02 00:00:54.865,140.892,140.849,0.9,0.9
4,2024-01-02 00:00:58.576,140.892,140.852,0.9,0.5
5,2024-01-02 00:01:13.219,140.892,140.852,0.9,0.5
6,2024-01-02 00:02:58.052,140.891,140.85,0.9,0.5
7,2024-01-02 00:03:02.716,140.891,140.84,0.9,0.5
8,2024-01-02 00:05:59.129,140.891,140.841,0.9,1.2
9,2024-01-02 00:06:11.262,140.892,140.842,0.9,1.2
10,2024-01-02 00:10:02.849,140.892,140.848,0.9,1.35
11,2024-01-02 00:10:03.902,140.892,140.854,0.9,1.35
12,2024-01-02 00:10:13.137,140.892,140.859,0.9,1.35
13,2024-01-02 00:10:14.041,140.892,140.865,0.9,1.35
14,2024-01-02 00:10:15.496,140.892,140.871,0.9,1.35
15,2024-01-02 00:10:16.549,140.892,140.877,0.9,1.35
16,2024-01-02 00:11:16.551,140.892,140.842,0.9,1.5
17,2024-01-02 00:11:22.569,140.892,140.878,1.2,1.35
18,2024-01-02 00:11:26.179,140.892,140.88,1.2,1.35
19,2024-01-02 00:11:33.300,140.905,140.885,1.2,1.35
20,2024-01-02 00:11:39.318,140.892,140.877,1.2,0.27
21,2024-01-02 00:11:54.864,140.892,140.842,0.9,1.5
22,2024-01-02 00:14:05.709,140.891,140.842,0.9,0.5
23,2024-01-02 00:14:19.145,140.891,140.84,0.9,1.5
24,2024-01-02 00:14:49.599,140.892,140.84,0.9,2.1
25,2024-01-02 00:14:51.856,140.891,140.841,0.9,1.2
26,2024-01-02 00:14:55.367,140.892,140.839,0.9,1.2
27,2024-01-02 00:15:00.832,140.891,140.841,0.9,1.2
28,2024-01-02 00:15:44.861,140.892,140.842,0.9,1.2
29,2024-01-02 00:15:52.735,140.892,140.844,0.9,1.8
30,2024-01-02 00:16:03.115,140.893,140.844,0.9,2.7
31,2024-01-02 00:20:26.834,140.893,140.848,0.9,1.2
32,2024-01-02 00:20:27.035,140.893,140.844,0.9,1.2
33,2024-01-02 00:20:57.108,140.895,140.846,1.2,1.2
34,2024-01-02 00:21:01.473,140.894,140.845,0.9,1.2
35,2024-01-02 00:21:01.575,140.893,140.845,1.2,1.35
36,2024-01-02 00:21:04.692,140.893,140.844,0.9,1.6
37,2024-01-02 00:21:07.105,140.893,140.844,0.9,1.6
38,2024-01-02 00:21:08.110,140.893,140.844,0.9,1.6
39,2024-01-02 00:21:09.114,140.893,140.845,0.9,1.6
40,2024-01-02 00:21:13.675,140.893,140.845,0.9,1.2
41,2024-01-02 00:21:13.777,140.893,140.847,0.9,1.1
42,2024-01-02 00:21:14.831,140.893,140.848,0.9,1.72
43,2024-01-02 00:21:17.138,140.893,140.848,0.9,1.72
44,2024-01-02 00:21:19.144,140.893,140.848,0.9,1.72
45,2024-01-02 00:21:21.149,140.893,140.848,0.9,1.72
46,2024-01-02 00:21:22.152,140.893,140.848,0.9,1.72
47,2024-01-02 00:21:22.254,140.889,140.853,0.9,1.6
48,2024-01-02 00:21:23.160,140.889,140.853,0.9,1.72
49,2024-01-02 00:21:23.463,140.893,140.853,0.9,1.2
50,2024-01-02 00:21:23.514,140.893,140.845,0.9,1.6
51,2024-01-02 00:21:25.728,140.893,140.845,0.9,1.6
52,2024-01-02 00:21:30.150,140.893,140.851,0.9,1.6
53,2024-01-02 00:21:33.164,140.893,140.854,0.9,1.1
54,2024-01-02 00:21:33.668,140.889,140.854,0.9,1.1
55,2024-01-02 00:21:34.925,140.893,140.854,0.9,1.2
56,2024-01-02 00:21:35.026,140.893,140.844,0.9,1.6
57,2024-01-02 00:21:35.931,140.894,140.843,0.9,1.6
58,2024-01-02 00:21:44.912,140.893,140.853,0.9,1.1
59,2024-01-02 00:22:13.078,140.894,140.856,1.2,1.1
60,2024-01-02 00:22:14.035,140.893,140.858,1.2,1.72
61,2024-01-02 00:22:45.856,140.889,140.858,0.9,1.72
62,2024-01-02 00:22:46.309,140.889,140.857,0.9,1.6
63,2024-01-02 00:22:46.712,140.89,140.856,0.9,1.2
64,2024-01-02 00:22:46.814,140.889,140.85,0.9,1.1
65,2024-01-02 00:22:47.116,140.893,140.85,1.2,1.1
66,2024-01-02 00:22:47.167,140.893,140.849,1.2,1.8
67,2024-01-02 00:22:51.839,140.889,140.855,0.9,1.1
68,2024-01-02 00:22:53.045,140.893,140.855,1.2,1.1
69,2024-01-02 00:22:53.147,140.893,140.846,1.2,2.1
70,2024-01-02 00:22:53.650,140.889,140.846,0.9,2.1
71,2024-01-02 00:22:53.752,140.889,140.856,0.9,1.72
72,2024-01-02 00:22:54.907,140.893,140.856,1.2,1.1
73,2024-01-02 00:22:54.958,140.893,140.847,1.2,1.6
74,2024-01-02 00:23:03.247,140.894,140.846,1.2,1.6
75,2024-01-02 00:23:10.377,140.895,140.847,1.2,1.6
76,2024-01-02 00:23:11.384,140.895,140.85,1.2,1.6
77,2024-01-02 00:23:17.661,140.896,140.848,1.2,2.1
78,2024-01-02 00:23:19.871,140.896,140.849,1.2,2.1
79,2024-01-02 00:23:23.381,140.894,140.849,0.9,1.8
80,2024-01-02 00:23:23.432,140.894,140.849,0.9,2.47
81,2024-01-02 00:23:24.587,140.896,140.856,1.2,1.6
82,2024-01-02 00:23:24.689,140.896,140.849,1.2,1.6
83,2024-01-02 00:23:30.467,140.896,140.855,1.2,1.2
84,2024-01-02 00:23:30.970,140.896,140.855,1.2,1.6
85,2024-01-02 00:23:33.381,140.896,140.859,1.2,1.1
86,2024-01-02 00:23:46.532,140.896,140.85,1.2,1.6
87,2024-01-02 00:23:47.538,140.896,140.851,1.2,1.1
88,2024-01-02 00:23:48.593,140.896,140.849,1.2,3.22
89,2024-01-02 00:24:12.968,140.896,140.849,1.2,2.1
90,2024-01-02 00:24:23.448,140.896,140.857,1.2,1.1
91,2024-01-02 00:24:24.602,140.896,140.857,1.2,1.2
92,2024-01-02 00:24:24.653,140.896,140.849,1.2,2.1
93,2024-01-02 00:24:55.691,140.897,140.86,1.2,1.1
94,2024-01-02 00:25:02.813,140.897,140.85,1.2,1.2
95,2024-01-02 00:25:04.568,140.897,140.85,1.2,1.6
96,2024-01-02 00:25:14.448,140.897,140.86,1.2,1.1
97,2024-01-02 00:25:18.259,140.897,140.856,1.2,1.6
98,2024-01-02 00:25:47.314,140.898,140.854,1.2,1.6
99,2024-01-02 00:25:59.256,140.899,140.853,1.2,1.72
100,2024-01-02 00:26:10.697,140.898,140.854,1.2,1.2
101,2024-01-02 00:26:19.202,140.897,140.851,1.2,1.6
102,2024-01-02 00:26:19.504,140.9,140.857,1.2,1.6
103,2024-01-02 00:26:20.459,140.898,140.854,1.2,1.72
104,2024-01-02 00:26:20.510,140.898,140.854,1.2,1.2
105,2024-01-02 00:27:05.802,140.898,140.855,1.2,1.1
106,2024-01-02 00:27:06.807,140.898,140.856,1.2,1.1
107,2024-01-02 00:27:16.632,140.898,140.854,1.2,1.2
108,2024-01-02 00:27:25.119,140.898,140.855,1.2,1.1
109,2024-01-02 00:27:30.887,140.898,140.856,1.2,1.6
110,2024-01-02 00:27:37.907,140.898,140.856,1.2,1.72
111,2024-01-02 00:28:08.797,140.906,140.856,1.35,1.1
112,2024-01-02 00:28:08.849,140.905,140.854,0.9,1.8
113,2024-01-02 00:28:08.950,140.913,140.855,0.9,1.2
114,2024-01-02 00:28:09.905,140.912,140.855,0.9,1.2
115,2024-01-02 00:28:09.956,140.912,140.855,0.9,1.6
